,Unnamed: 0,Listing ID,Location,Lat_Long,Monthly Rental Price,Bedrooms,Bathrooms,Square Footage,Latitude,Longitude,Type,num_grocers,num_nightlife,num_noise,num_restaurants,num_subways,num_trees,grocers_normalized,nightlife_normalized,noise_normalized,restaurants_normalized,subways_normalized,trees_normalized,id
498,498,3024327,179 Mulberry Street #4,"['40.72090149,-73.99690247']",3400,2.0,1.0,0.0,40.72090149,-73.99690247,Apartment,41,13,166,188,6,204,2.2954830088220897,0.45089357629252813,-0.1261826729838949,1.5659187055014767,0.12307859463645016,-1.1051832431109854,3024327
499,499,3024326,272 West 115th Street #3D,"['40.80323403,-73.95525037']",1970,1.0,1.0,0.0,40.80323403,-73.95525037,Apartment,18,3,484,21,4,555,0.11529480201444718,-0.7263359561329664,2.110926651289359,-0.9858763904423099,-0.17304783333081258,0.8955454670074526,3024326
500,500,3024324,510 East Sixth Street #2B,"['40.72496422,-73.98333917']",5000,2.0,2.0,0.0,40.72496422,-73.98333917,Apartment,24,16,292,152,0,404,0.6840395516164409,0.8040624360201766,0.760219134747017,1.0158311399088042,-0.7653006892653381,0.034833115930859665,3024324
501,501,3024312,242 West 53rd Street #58F,"['40.7635994,-73.98400116']",5195,1.0,1.0,654.0,40.7635994,-73.98400116,Apartment,12,27,179,215,22,202,-0.45344994758754653,2.0990149216882203,-0.03472851821800717,1.978484379695981,2.492090018374552,-1.1165834067014038,3024312
502,502,3024311,14 Morton Street #5,"['40.73110813,-74.00367308']",2550,1.0,1.0,0.0,40.73110813,-74.00367308,Apartment,22,31,217,237,9,715,0.4944579684157763,2.569906734658418,0.23259901109766465,2.3146490031137255,0.5672682365873443,1.8075585542409287,3024311
503,503,3024303,2166 Frederic Douglas Boulevard #5E,"['40.80479284,-73.95474362']",1695,0.0,1.0,0.0,40.80479284,-73.95474362,Apartment,20,4,489,26,4,616,0.30487638521511173,-0.608613002890417,2.146101326199316,-0.9094753396655498,-0.17304783333081258,1.2432504565152154,3024303
504,504,3024300,149 East 39th Street #704,"['40.74930345,-73.97630251']",3400,1.0,1.0,0.0,40.74930345,-73.97630251,Apartment,18,7,96,126,9,457,0.11529480201444718,-0.25544414316276864,-0.6186281217232904,0.6185456758696517,0.5672682365873443,0.3369374510769486,3024300
505,505,3024299,735 West 172nd Street #B25,"['40.84549681,-73.94210188']",2475,2.0,1.0,0.0,40.84549681,-73.94210188,Apartment,5,0,234,10,2,348,-1.1169854887898725,-1.0795048158606149,0.35219290579151785,-1.1539587021511821,-0.4691742612980753,-0.28437146460085694,3024299
506,506,3024298,450 West 42nd Street TWENTY9J,"['40.75910187,-73.99490356']",3900,0.0,1.0,0.0,40.75910187,-73.99490356,Apartment,27,13,91,83,0,316,0.9684119264174378,0.45089357629252813,-0.6538027966332473,-0.03850336081048494,-0.7653006892653381,-0.46677408204755216,3024298
507,507,3024295,200 East 16th Street #9K,"['40.73429871,-73.98609924']",3950,0.0,1.0,0.0,40.73429871,-73.98609924,Apartment,10,13,160,90,7,476,-0.6430315307882111,0.45089357629252813,-0.1683922828758431,0.06845811027697916,0.2711418086200815,0.4452390051859239,3024295
508,508,3024284,1 Morningside Drive #1415,"['40.80250168,-73.96160126']",5640,2.0,2.0,1.0,40.80250168,-73.96160126,Apartment,10,5,62,28,0,442,-0.6430315307882111,-0.49089004964786753,-0.8578159111109968,-0.8789149193548458,-0.7653006892653381,0.25143622414881023,3024284
509,509,3008036,372 West 11th Street ,"['40.73517826,-74.00956575']",30000,4.0,5.0,4.0,40.73517826,-74.00956575,Apartment,5,5,56,33,0,508,-1.1169854887898725,-0.49089004964786753,-0.900025521002945,-0.8025138685780857,-0.7653006892653381,0.6276416226326191,3008036
510,510,3019243,70 W 37th Street #909,"['40.75130081,-73.98629761']",4888,1.0,1.0,0.0,40.75130081,-73.98629761,Apartment,12,15,171,211,14,61,-0.45344994758754653,0.6863394827776271,-0.09100799807393808,1.9173635390745731,1.307584306505501,-1.9202949398259046,3019243
511,511,3024283,27 West 96th Street #5C,"['40.79243989,-73.96582837']",6295,3.0,2.0,1.0,40.79243989,-73.96582837,Apartment,10,0,96,13,3,433,-0.6430315307882111,-1.0795048158606149,-0.6186281217232904,-1.108118071685126,-0.32111104731444395,0.2001354879919272,3024283
512,512,3024217,10 West End Avenue #24A,"['40.77170181,-73.98999786']",7300,2.0,2.0,1.0,40.77170181,-73.98999786,Apartment,7,4,69,25,0,248,-0.9274039055892079,-0.608613002890417,-0.8085713662370572,-0.9247555498209019,-0.7653006892653381,-0.8543796441217795,3024217
513,513,3024280,1 Morningside Drive #1604,"['40.80250168,-73.96160126']",3470,1.0,1.0,746.0,40.80250168,-73.96160126,Apartment,10,5,62,28,0,442,-0.6430315307882111,-0.49089004964786753,-0.8578159111109968,-0.8789149193548458,-0.7653006892653381,0.25143622414881023,3024280
514,514,3024279,456 Washington Street #3D,"['40.72449875,-74.01049805']",16957,3.0,3.0,0.0,40.72449875,-74.01049805,Apartment,2,6,25,26,0,337,-1.4013578635908694,-0.3731670964053181,-1.1181085054446773,-0.9094753396655498,-0.7653006892653381,-0.3470723643481584,3024279
515,515,3024271,223 Mott Street #4,"['40.72240067,-73.99549866']",3166,1.0,1.0,0.0,40.72240067,-73.99549866,Apartment,20,18,152,164,12,319,0.30487638521511173,1.0395083425052754,-0.224671762731774,1.1991936617730283,1.0114578785382384,-0.44967383666192445,3024271
